comment,label
"Estoy muy contento con mi nuevo iPhone. Es rápido, tiene una gran pantalla y las fotos que toma son increíbles.",Positivo
Me encanta mi nuevo televisor Samsung. La imagen es increíble y los colores son muy vivos.,Positivo
"Estoy muy satisfecho con mi nuevo coche. Es cómodo, tiene un buen rendimiento y gasta poco combustible.",Positivo
He comprado un nuevo libro de mi autor favorito y estoy disfrutando mucho leyéndolo.,Positivo
He visto una nueva película que me ha encantado. La historia es muy buena y las actuaciones son increíbles.,Positivo
He ido a un nuevo restaurante y he comido muy bien. La comida es deliciosa y el servicio es excelente.,Positivo
He comprado una nueva prenda de ropa que me queda muy bien. Es cómoda y me hace sentir seguro.,Positivo
He comprado un nuevo gadget que me ayuda a hacer mi vida más fácil. Es muy útil y me ha ahorrado mucho tiempo.,Positivo
He contratado un nuevo servicio que me ha facilitado mucho la vida. Es muy eficiente y me ha ahorrado mucho dinero.,Positivo
Estoy muy decepcionado con mi nuevo iPhone. Se apaga solo y la batería dura muy poco.,Negativo
No estoy contento con mi nuevo televisor Samsung. La imagen es borrosa y los colores son apagados.,Negativo
"Estoy muy arrepentido de haber comprado mi nuevo coche. Es incómodo, consume mucho combustible y tiene muchos problemas mecánicos.",Negativo
Me ha decepcionado mucho mi nuevo libro de mi autor favorito. La historia es aburrida y las actuaciones son mediocres.,Negativo
No he disfrutado nada viendo la nueva película que me recomendaron. La historia es predecible y las actuaciones son malas.,Negativo
He ido a un restaurante nuevo y he comido mal. La comida era insípida y el servicio fue muy deficiente.,Negativo
Me arrepiento de haber comprado mi nueva prenda de ropa. Es incómoda y no me queda bien.,Negativo
No estoy contento con mi nuevo gadget. Es muy lento y no es muy útil.,Negativo
Me arrepiento de haber contratado mi nuevo servicio. Es muy caro y no ha cumplido mis expectativas.,Negativo
Este producto superó mis expectativas. ¡Es increíble!,Positivo
No puedo creer lo bien que funciona este producto. ¡Lo amo!,Positivo
Definitivamente vale la pena el precio. ¡Estoy muy satisfecho!,Positivo
Nunca había tenido un producto tan útil. Lo uso todos los días.,Positivo
Mi vida ha mejorado desde que comencé a usar este producto.,Positivo
Recomiendo encarecidamente este producto a todos. Funciona de maravilla.,Positivo
Estoy impresionado por la calidad y el rendimiento de este producto.,Positivo
Es un producto imprescindible para cualquier persona. No te arrepentirás.,Positivo
¡Finalmente encontré el producto perfecto! No podría estar más contento.,Positivo
Mis amigos me preguntan dónde conseguí este producto. Todos quieren uno.,Positivo
No puedo dejar de hablar de lo asombroso que es este producto.,Positivo
Cada centavo gastado en este producto ha valido la pena.,Positivo
Este producto ha hecho mi vida mucho más conveniente. Estoy agradecido.,Positivo
Nunca pensé que encontraría un producto tan excepcional. Estoy impresionado.,Positivo
No puedo expresar lo feliz que estoy con este producto. Es genial.,Positivo
Este producto ha mejorado mi rutina diaria de manera significativa.,Positivo
"Si estás buscando un producto de calidad, no busques más. Esto es perfecto.",Positivo
Desearía haber descubierto este producto antes. Ha sido un cambio total.,Positivo
"Es difícil encontrar productos que cumplan sus promesas, pero este lo hace.",Positivo
Este producto se ha convertido en un elemento esencial en mi vida diaria.,Positivo
No puedo creer lo malo que es este producto. Totalmente decepcionado.,Negativo
No vale la pena el dinero. Este producto es una completa pérdida.,Negativo
Definitivamente no recomendaría este producto a nadie. Es terrible.,Negativo
Me arrepiento de haber comprado este producto. No funciona en absoluto.,Negativo
Este producto es un desastre total. No hace lo que promete.,Negativo
No entiendo cómo alguien podría dar una opinión positiva sobre este producto.,Negativo
La calidad de este producto es pésima. Se rompió después de poco tiempo de uso.,Negativo
Una completa basura. No tiene ninguna utilidad real.,Negativo
No pierdas tu dinero en este producto. Es una estafa.,Negativo
Me siento estafado después de comprar este producto. Es inútil.,Negativo
Esta es la peor compra que he hecho. No cumple con ninguna expectativa.,Negativo
Estoy muy frustrado con este producto. No es ni siquiera funcional.,Negativo
"Mis expectativas eran bajas, pero este producto las ha superado en lo malo.",Negativo
No puedo encontrar nada bueno que decir sobre este producto. Es terrible en todos los aspectos.,Negativo
No se dejen engañar por la publicidad. Este producto es un completo fracaso.,Negativo
No se dejen engañar por las reseñas positivas. Este producto no vale la pena.,Negativo
"Lamentablemente, este producto no cumplió con las expectativas en absoluto.",Negativo
Este producto me ha causado más problemas de los que resolvió. Es una pérdida de tiempo.,Negativo
La calidad es tan mala que este producto se rompió después de un solo uso.,Negativo
Definitivamente no es lo que esperaba. No recomendaría este producto a nadie.,Negativo
No entiendo cómo alguien podría estar satisfecho con este producto. Es un fracaso total.,Negativo
Me encanta mi nuevo teléfono! Es muy rápido y la cámara toma fotos increíbles.,Positivo
Este restaurante tiene la mejor comida que he probado. El servicio es genial también!,Positivo
"Estoy muy contento con mi nuevo coche. Es cómodo, confiable y se ve genial.",Positivo
"Este hotel es increíble! Las habitaciones son amplias y limpias, y el personal es amable y servicial.",Positivo
He estado usando este producto durante una semana y ya puedo ver una diferencia en mi piel. Está más suave y radiante.,Positivo
Estoy realmente impresionado con el servicio al cliente de esta empresa. Fueron más allá para ayudarme con mi problema.,Positivo
Este libro es una lectura obligada para cualquier persona interesada en la historia. Está bien escrito e informativo.,Positivo
He estado usando esta aplicación durante un mes y ha hecho mi vida mucho más fácil. No sé cómo vivía sin ella!,Positivo
Esta cafetería tiene el mejor café de la ciudad. El ambiente es acogedor e invitador también.,Positivo
"Estoy muy contento de haber comprado esta aspiradora. Es potente, fácil de usar y hace un gran trabajo limpiando.",Positivo
Esta película es hilarante! Me reí desde el principio hasta el final.,Positivo
Estoy realmente feliz con mis nuevos zapatos. Son elegantes y cómodos.,Positivo
Este sitio web tiene todo lo que necesito para mi negocio. Los precios son razonables y el envío es rápido.,Positivo
Me encanta esta marca de maquillaje! Los colores son hermosos y duran todo el día.,Positivo
Este gimnasio tiene equipos de última generación y los entrenadores son conocedores y amables.,Positivo
Estoy realmente impresionado con este software. Es fácil de usar y tiene todas las funciones que necesito.,Positivo
Este museo es fascinante! Las exhibiciones están bien curadas e informativas.,Positivo
Estoy muy contento de haber cambiado a este banco. Las tarifas son bajas y el servicio al cliente es excelente.,Positivo
Este juego es muy divertido! Es desafiante pero no frustrante.,Positivo
Estoy realmente feliz con este curso en línea. El material está bien presentado y es fácil de entender.,Positivo
"Este teléfono es terrible. Es lento, la batería dura poco y la cámara toma fotos horribles.",Negativo
"Tuve una experiencia terrible en este restaurante. La comida estaba fría y sabía mal, y el servicio era lento y antipático.",Negativo
Me arrepiento de comprar este coche. Es poco fiable y ha tenido múltiples problemas desde que lo compré.,Negativo
"Este hotel es un desastre. Las habitaciones están sucias y mal mantenidas, y el personal es grosero y poco servicial.",Negativo
Estoy muy decepcionado con este producto. No funcionó como se anunciaba y fue una pérdida de dinero.,Negativo
El servicio al cliente de esta empresa es terrible. Fueron irresponsables y no me ayudaron en absoluto con mi problema.,Negativo
Este libro fue una pérdida de tiempo. Estaba mal escrito y no proporcionaba ninguna información útil.,Negativo
Estoy muy frustrado con esta aplicación. Tiene errores y se bloquea todo el tiempo.,Negativo
Esta cafetería es terrible. El café sabe a quemado y el ambiente es desagradable.,Negativo
"Me arrepiento de comprar esta aspiradora. Es pesada, difícil de usar y no limpia bien.",Negativo
Esta película fue horrible! La trama era aburrida y la actuación era terrible.,Negativo
Estos zapatos son incómodos y de mala calidad. No se los recomendaría a nadie.,Negativo
Este sitio web es un desastre. Es difícil de navegar y el proceso de pago es confuso.,Negativo
Estoy muy decepcionado con esta marca de maquillaje. Los colores son apagados y no duran mucho.,Negativo
"Este gimnasio es una broma! El equipo es viejo y obsoleto, y los entrenadores son poco profesionales.",Negativo
Este software es una pesadilla de usar. Es confuso y no funciona como se anuncia.,Negativo
Este museo fue una pérdida de dinero. Las exhibiciones eran aburridas y mal curadas.,Negativo
Estoy muy descontento con el servicio de este banco. Cobran altas comisiones y no les importan sus clientes.,Negativo
Este juego es terrible! Es demasiado difícil de jugar y no tiene nada de divertido.,Negativo
Estoy muy decepcionado con este curso en línea. El material está mal presentado y es difícil de entender.,Negativo
¡Me encanta esta publicación! Es muy inspiradora.,Positivo
¡Muy bueno! Me encanta el mensaje que transmite.,Positivo
Estoy de acuerdo contigo. Es muy importante ser amable con los demás.,Positivo
Muy acertado. El mundo sería un mejor lugar si todos fuéramos más amables.,Positivo
Gracias por compartir esto. Es algo que todos deberíamos recordar.,Positivo
¡Esto es genial! Me alegra ver que hay gente que se preocupa por los demás.,Positivo
¡Me ha gustado mucho! Es un mensaje que todos deberíamos escuchar.,Positivo
¡Esto es increíble! Me ha encantado leerlo.,Positivo
Me ha encantado! Es un mensaje muy positivo.,Positivo
¡Bravo! Es un mensaje muy importante.,Positivo
¡Esto es muy inspirador! Me ha dado ganas de ser más amable.,Positivo
¡Esto es muy motivador! Me ha animado a seguir siendo amable.,Positivo
¡Esto es muy informativo! Me ha enseñado mucho sobre la importancia de la amabilidad.,Positivo
¡Esto es muy útil! Me ha dado ideas sobre cómo ser más amable.,Positivo
¡Esto es muy divertido! He disfrutado leyendo este mensaje.,Positivo
¡Esto es muy tierno! Me ha hecho sentir bien leerlo.,Positivo
¡Esto es muy gracioso! Me ha hecho reír.,Positivo
¡Esto es muy creativo! Me ha gustado la forma en que se ha transmitido el mensaje.,Positivo
¡Esto es muy original! No he visto ningún otro mensaje como este.,Positivo
¡Esto es muy artístico! Me ha gustado la forma en que se ha diseñado.,Positivo
¡Esto es muy elegante! Me ha gustado la forma en que se ha escrito.,Positivo
¡Esto es muy moderno! Es un mensaje que encaja con los tiempos actuales.,Positivo
¡Esto es muy clásico! Es un mensaje que siempre será válido.,Positivo
¡Esto es muy elegante! Me ha gustado la forma en que se ha presentado.,Positivo
¡Esto es muy cómodo! He disfrutado leyendo este mensaje.,Positivo
¡Esto es muy práctico! He podido aplicar el mensaje a mi vida.,Positivo
¡Esto es muy duradero! El mensaje me ha hecho pensar en cómo puedo ser más amable a largo plazo.,Positivo
¡Esto es muy asequible! Cualquiera puede ser amable.,Positivo
¡Esto es muy accesible! El mensaje está disponible para todos.,Positivo
¡Esto es muy conveniente! He podido leer el mensaje fácilmente.,Positivo
¡Esto es muy rápido! He podido entender el mensaje rápidamente.,Positivo
¡Esto es muy eficiente! He podido aplicar el mensaje a mi vida rápidamente.,Positivo
¡Esto es muy eficaz! El mensaje ha tenido un impacto positivo en mi vida.,Positivo
¡Esto es muy confiable! El mensaje es verdadero y me ha ayudado a ser más amable.,Positivo
¡Esto es muy seguro! El mensaje no me ha hecho daño de ninguna manera.,Positivo
¡Esto es muy saludable! El mensaje me ha hecho sentir mejor conmigo mismo y con los demás.,Positivo
¡Esto es muy sostenible! El mensaje es bueno para el medio ambiente y para la sociedad.,Positivo
¡Esto es muy ético! El mensaje es justo y correcto.,Positivo
¡Esto es muy responsable! El mensaje me ha hecho ser más responsable con mis actos.,Positivo
¡Esto es muy solidario! El mensaje me ha hecho querer ayudar a los demás.,Positivo
"El producto es bueno, pero podría ser mejor.",Neutral
"El servicio es rápido y eficiente, pero podría ser más personalizado.",Neutral
"La publicación es interesante, pero podría ser más profunda.",Neutral
"El producto es asequible, pero podría ser de mayor calidad.",Neutral
"El servicio es excelente, pero podría ser más asequible.",Neutral
"La publicación es informativa, pero podría ser más atractiva.",Neutral
"El producto es duradero, pero podría ser más moderno.",Neutral
"El servicio es amigable, pero podría ser más eficiente.",Neutral
